point_name	point_unit	point_code
B组伸缩油缸有杆腔压力	bar	SSYG_YGQ_PRSB
C组伸缩油缸无杆腔压力	bar	SSYG_WGQ_PRSC
C组伸缩油缸有杆腔压力	bar	SSYG_YGQ_PRSC
A组伸缩油缸行程	mm	SSYG_XCA
B组伸缩油缸行程	mm	SSYG_XCB
C组伸缩油缸行程	mm	SSYG_XCC
刀盘伸缩总推力	kN	DP_SS_ZTL
刀盘伸缩总扭矩	kNm	DP_SS_ZNJ
刀盘伸缩X方向扭矩	kNm	DP_SS_XNJ
刀盘伸缩Y方向扭矩	kNm	DP_SS_YNJ
刀盘伸缩X方向力臂	mm	DP_SS_XLB
刀盘伸缩Y方向力臂	mm	DP_SS_PRSB
刀盘伸缩总力臂	mm	DP_SS_ZLB
刀盘伸缩自动模式目标行程设置	mm	DP_SSZD_MBXC_SET
A组推进泵流量	%	TJB_FLOW1
B组推进泵流量	%	TJB_FLOW2
C组推进泵流量	%	TJB_FLOW3
D组推进泵流量	%	TJB_FLOW4
E组推进泵流量	%	TJB_FLOW5
F组推进泵流量	%	TJB_FLOW6
1#保压系统流量	L/min	BY_LL1
2#保压系统流量	L/min	BY_LL2
1#刀盘制动压力	bar	DP_ZD_PRS1
2#刀盘制动压力	bar	DP_ZD_PRS2
外循环进水压力	bar	WXH_JS_PRS
1#齿轮油泵出口压力	bar	CLYB_CK_PRS1
2#齿轮油泵出口压力	bar	CLYB_CK_PRS2
3#齿轮油泵出口压力	bar	CLYB_CK_PRS3
1#主驱动防扭油缸行程	mm	ZQD_FNYG_XC1
2#主驱动防扭油缸行程	mm	ZQD_FNYG_XC2
1#主驱动防扭油缸压力	bar	ZQD_FNYG_PRS1
2#主驱动防扭油缸压力	bar	ZQD_FNYG_PRS2
主驱动防扭油缸扭矩	kNm	ZQD_FNYG_NJ
油气密封变速箱压力	bar	YQMF_BSX_PRS
油气密封气源压力	bar	YQMF_QY_PRS
油气密封反馈压力	bar	YQMF_FK_PRS
油气密封泄露检测腔压力	bar	YQMF_XLJC_QPRS
1#喂片机拖拉油缸有杆腔压力	bar	WPJ_TLYG_YGQ_PRS1
2#喂片机拖拉油缸有杆腔压力	bar	WPJ_TLYG_YGQ_PRS2
2#泥浆门插销行程	mm	NJM_CX_XC2
P2.1泵氧气浓度	%VOL	02_P2.1
P2.1泵一氧化碳浓度	ppm	CO_P2.1
P2.1泵硫化氢浓度	ppm	H2S_P2.1
P2.1泵二氧化碳浓度	%ppm	CO2_P2.1
EP2油脂用量	kg	EP2
HBW油脂用量	kg	HBW
1#盾尾油脂用量	kg	DWYZ_YL1
2#盾尾油脂用量	kg	DWYZ_YL2
3#盾尾油脂用量	kg	DWYZ_YL3
4#盾尾油脂用量	kg	DWYZ_YL4
1#推进油缸压力	bar	TJYG_PRS1
2#推进油缸压力	bar	TJYG_PRS2
3#推进油缸压力	bar	TJYG_PRS3
4#推进油缸压力	bar	TJYG_PRS4
5#推进油缸压力	bar	TJYG_PRS5
6#推进油缸压力	bar	TJYG_PRS6
7#推进油缸压力	bar	TJYG_PRS7
8#推进油缸压力	bar	TJYG_PRS8
9#推进油缸压力	bar	TJYG_PRS9
10#推进油缸压力	bar	TJYG_PRS10
11#推进油缸压力	bar	TJYG_PRS11
12#推进油缸压力	bar	TJYG_PRS12
13#推进油缸压力	bar	TJYG_PRS13
14#推进油缸压力	bar	TJYG_PRS14
15#推进油缸压力	bar	TJYG_PRS15
16#推进油缸压力	bar	TJYG_PRS16
17#推进油缸压力	bar	TJYG_PRS17
18#推进油缸压力	bar	TJYG_PRS18
19#推进油缸压力	bar	TJYG_PRS19
20#推进油缸压力	bar	TJYG_PRS20
1#推进油缸行程	mm	TJYG_XC1
2#推进油缸行程	mm	TJYG_XC2
3#推进油缸行程	mm	TJYG_XC3
4#推进油缸行程	mm	TJYG_XC4
5#推进油缸行程	mm	TJYG_XC5
6#推进油缸行程	mm	TJYG_XC6
7#推进油缸行程	mm	TJYG_XC7
8#推进油缸行程	mm	TJYG_XC8
9#推进油缸行程	mm	TJYG_XC9
10#推进油缸行程	mm	TJYG_XC10
11#推进油缸行程	mm	TJYG_XC11
12#推进油缸行程	mm	TJYG_XC12
13#推进油缸行程	mm	TJYG_XC13
14#推进油缸行程	mm	TJYG_XC14
15#推进油缸行程	mm	TJYG_XC15
16#推进油缸行程	mm	TJYG_XC16
17#推进油缸行程	mm	TJYG_XC17
18#推进油缸行程	mm	TJYG_XC18
19#推进油缸行程	mm	TJYG_XC19
20#推进油缸行程	mm	TJYG_XC20
1#推进油缸目标压力	bar	TJYG_MB_PRS1
2#推进油缸目标压力	bar	TJYG_MB_PRS2
3#推进油缸目标压力	bar	TJYG_MB_PRS3
4#推进油缸目标压力	bar	TJYG_MB_PRS4
5#推进油缸目标压力	bar	TJYG_MB_PRS5
6#推进油缸目标压力	bar	TJYG_MB_PRS6
7#推进油缸目标压力	bar	TJYG_MB_PRS7
8#推进油缸目标压力	bar	TJYG_MB_PRS8
9#推进油缸目标压力	bar	TJYG_MB_PRS9
10#推进油缸目标压力	bar	TJYG_MB_PRS10
11#推进油缸目标压力	bar	TJYG_MB_PRS11
12#推进油缸目标压力	bar	TJYG_MB_PRS12
13#推进油缸目标压力	bar	TJYG_MB_PRS13
14#推进油缸目标压力	bar	TJYG_MB_PRS14
15#推进油缸目标压力	bar	TJYG_MB_PRS15
16#推进油缸目标压力	bar	TJYG_MB_PRS16
17#推进油缸目标压力	bar	TJYG_MB_PRS17
18#推进油缸目标压力	bar	TJYG_MB_PRS18
19#推进油缸目标压力	bar	TJYG_MB_PRS19
20#推进油缸目标压力	bar	TJYG_MB_PRS20
P0.3速度设置	%	SD_SET0.3
冲洗泵P0.3出口压力	bar	CXB_CPRS0.3
冲洗泵P0.3进口压力	bar	CXB_JPRS0.3
冲洗泵P0.3流量	m3/h	CXB_FLOW0.3
冲洗泵电流 P0.3	A	CSB_DL0.3
冲洗泵速度 P0.3	%	CSB_SD0.3
P0.1泵吸口压力	bar	BXK_PRS0.1
P0.2泵吸口压力	bar	BXK_PRS0.2
工业气罐压力	bar	GYQG_PRS
1#保压气罐压力	bar	BYQG_PRS1
碎石机L1腔油脂压力	bar	SSJ_YZ_PRSL1
碎石机L2腔油脂压力	bar	SSJ_PRS_L2
碎石机L4腔油脂压力	bar	SSJ_YZ_PRSL4
碎石机R1腔油脂压力	bar	SSJ_YZ_PRSR1
碎石机R3腔油脂压力	bar	SSJ_YZ_PRSR3
碎石机R4腔油脂压力	bar	SSJ_YZ_PRSR4
内密封压力	bar	NMF_PRS
旋转密封压力	bar	XZMF_PRS
1#A液泵速度反馈	%	AYB_SD1
2#A液泵速度反馈	%	AYB_SD2
3#A液泵速度反馈	%	AYB_SD3
4#A液泵速度反馈	%	AYB_SD4
5#A液泵速度反馈	%	AYB_SD5
6#A液泵速度反馈	%	AYB_SD6
7#A液泵速度反馈	%	AYB_SD7
8#A液泵速度反馈	%	AYB_SD8
1#B液泵速度反馈	%	BYB_SD1
2#B液泵速度反馈	%	BYB_SD2
3#B液泵速度反馈	%	BYB_SD3
4#B液泵速度反馈	%	BYB_SD4
5#B液泵速度反馈	%	BYB_SD5
6#B液泵速度反馈	%	BYB_SD6
7#B液泵速度反馈	%	BYB_SD7
8#B液泵速度反馈	%	BYB_SD8
1#A液泵出口压力	bar	AYB_PRS1_1
2#A液泵出口压力	bar	AYB_PRS1_2
3#A液泵出口压力	bar	AYB_PRS1_3
4#A液泵出口压力	bar	AYB_PRS1_4
5#A液泵出口压力	bar	AYB_PRS5
6#A液泵出口压力	bar	AYB_PRS6
7#A液泵出口压力	bar	AYB_PRS7
8#A液泵出口压力	bar	AYB_PRS8
1#A液泵出口流量	L/min	AYB_CK_FLOW1
2#A液泵出口流量	L/min	AYB_FLOW2
3#A液泵出口流量	L/min	AYB_FLOW3
4#A液泵出口流量	L/min	AYB_FLOW4
5#A液泵出口流量	L/min	AYB_FLOW5
6#A液泵出口流量	L/min	AYB_FLOW6
7#A液泵出口流量	L/min	AYB_FLOW7
8#A液泵出口流量	L/min	AYB_FLOW8
1#B液泵出口压力	bar	BYB_CK_PRS1
2#B液泵出口压力	bar	BYB_CK_PRS2
3#B液泵出口压力	bar	BYB_CK_PRS3
4#B液泵出口压力	bar	BYB_CK_PRS4
5#B液泵出口压力	bar	BYB_CK_PRS5
6#B液泵出口压力	bar	BYB_CK_PRS6
7#B液泵出口压力	bar	BYB_CK_PRS7
8#B液泵出口压力	bar	BYB_CK_PRS8
1#B液泵出口流量	L/min	BYB_CK_FLOW1
2#B液泵出口流量	L/min	BYB_CK_FLOW2
3#B液泵出口流量	L/min	BYB_CK_FLOW3
4#B液泵出口流量	L/min	BYB_CK_FLOW4
5#B液泵出口流量	L/min	BYB_CK_FLOW5
6#B液泵出口流量	L/min	BYB_CK_FLOW6
7#B液泵出口流量	L/min	BYB_CK_FLOW7
8#B液泵出口流量	L/min	BYB_CK_FLOW8
1#A液阀入口压力	bar	AYF_RPRS1
2#A液阀入口压力	bar	AYF_RPRS2
3#A液阀入口压力	bar	AYF_RPRS3
4#A液阀入口压力	bar	AYF_RPRS4
5#A液阀入口压力	bar	AYF_RPRS5
6#A液阀入口压力	bar	AYF_RPRS6
7#A液阀入口压力	bar	AYF_RPRS7
8#A液阀入口压力	bar	AYF_RPRS8
1#B液阀入口压力	bar	BYF_RPRS1
2#B液阀入口压力	bar	BYF_RPRS2
3#B液阀入口压力	bar	BYF_RPRS3
4#B液阀入口压力	bar	BYF_RPRS4
5#B液阀入口压力	bar	BYF_RPRS5
6#B液阀入口压力	bar	BYF_RPRS6
7#B液阀入口压力	bar	BYF_RPRS7
8#B液阀入口压力	bar	BYF_RPRS8
1#A液罐液位	%	AYGYW1
2#A液罐液位	%	AYGYW2
1#注浆活塞关到位限位开关		ZJ_GDW_KG1
1#注浆活塞开到位限位开关		ZJ_KDW_KG1
2#注浆活塞关到位限位开关		ZJ_GDW_KG2
2#注浆活塞开到位限位开关		ZJ_KDW_KG2
3#注浆活塞关到位限位开关		ZJ_GDW_KG3
3#注浆活塞开到位限位开关		ZJ_KDW_KG3
4#注浆活塞关到位限位开关		ZJ_GDW_KG4
4#注浆活塞开到位限位开关		ZJ_KDW_KG4
5#注浆活塞关到位限位开关		ZJ_GDW_KG5
5#注浆活塞开到位限位开关		ZJ_KDW_KG5
6#注浆活塞关到位限位开关		ZJ_GDW_KG6
6#注浆活塞开到位限位开关		ZJ_KDW_KG6
7#注浆活塞关到位限位开关		ZJ_GDW_KG7
7#注浆活塞开到位限位开关		ZJ_KDW_KG7
8#注浆活塞关到位限位开关		ZJ_GDW_KG8
8#注浆活塞开到位限位开关		ZJ_KDW_KG8
1#A液泵累计量	m3	AYB_LJL1
1#B液泵累计量	m3	BYB_LJL1
2#A液泵累计量	m3	AYB_LJL2
2#B液泵累计量	m3	BYB_LJL2
3#A液泵累计量	m3	AYB_LJL3
3#B液泵累计量	m3	BYB_LJL3
4#A液泵累计量	m3	AYB_LJL4
4#B液泵累计量	m3	BYB_LJL4
5#A液泵累计量	m3	AYB_LJL5
5#B液泵累计量	m3	BYB_LJL5
6#A液泵累计量	m3	AYB_LJL6
6#B液泵累计量	m3	BYB_LJL6
7#A液泵累计量	m3	AYB_LJL7
7#B液泵累计量	m3	BYB_LJL7
8#A液泵累计量	m3	AYB_LJL8
8#B液泵累计量	m3	BYB_LJL8
1#注浆状态		ZJZT1
2#注浆状态		ZJZT2
3#注浆状态		ZJZT3
4#注浆状态		ZJZT4
5#注浆状态		ZJZT5
6#注浆状态		ZJZT6
7#注浆状态		ZJZT7
8#注浆状态		ZJZT8
1#注浆泵停止时间	min	ZJB_TZ_TIME1
2#注浆泵停止时间	min	ZJB_TZ_TIME2
3#注浆泵停止时间	min	ZJB_TZ_TIME3
4#注浆泵停止时间	min	ZJB_TZ_TIME4
5#注浆泵停止时间	min	ZJB_TZ_TIME5
6#注浆泵停止时间	min	ZJB_TZ_TIME6
7#注浆泵停止时间	min	ZJB_TZ_TIME7
8#注浆泵停止时间	min	ZJB_TZ_TIME8
1#注浆总泵累计量	m3	ZJB_LZL1
2#注浆总泵累计量	m3	ZJB_LZL2
3#注浆总泵累计量	m3	ZJB_LZL3
4#注浆总泵累计量	m3	ZJB_LZL4
5#注浆总泵累计量	m3	ZJB_LZL5
6#注浆总泵累计量	m3	ZJB_LJL6
7#注浆总泵累计量	m3	ZJB_LJL7
8#注浆总泵累计量	m3	ZJB_LJL8
1#冲洗水流量	L/min	CSS_FLOW1
2#冲洗水流量	L/min	CSS_FLOW2
3#冲洗水流量	L/min	CSS_FLOW3
4#冲洗水流量	L/min	CSS_FLOW4
5#冲洗水流量	L/min	CSS_FLOW5
注浆总累积量	m3	ZJL_LJ
注浆总累积量与目标值的差值	m3	ZJL_ERROR
碎石机轴承油脂流量	mL/min	SSJ_ZC_YZ_FLOW
碎石机轴承润滑油脂计数器		SSJ_ZC_YZ_CNT
碎石机旋转轴密封油脂流量	mL/min	SSJ_XZZ_YZ_FLOW
碎石机旋转轴密封油脂计数器		SSJ_XZZ_YZ_CNT
1#回转中心油脂计数		HZZX_YZ_CNT1
2#回转中心油脂计数		HZZX_YZ_JS
拼装机平移行程	mm	PZJ_PY_XC
主轴承第二道内密封脉冲数1		ZZC2_NMF_FLOW1
主轴承内密封和中心回转接头油脂计数		ZZC_NMF_ZXHZ_YZ_CNT
变频柜水冷单元运行		BPG_SL_RUN
变频柜水冷单元就绪		BPG_SL_ON
阀V1的状态指示		F_ZTZS1
阀V2的状态指示		F_ZTZS2
阀V3的状态指示		F_ZTZS3
阀V4的状态指示		F_ZTZS4
阀V5.1的状态指示		F_ZTZS5.1
阀V5.2的状态指示		F_ZTZS5.2
阀V6的状态指示		F_ZTZS6
阀V7的状态指示		F_ZTZS7
阀V8的状态指示		F_ZTZS8
阀V9的状态指示		F_ZTZS9
阀V10.1的状态指示		F_ZTZS10.1
阀V10.2的状态指示		F_ZTZS10.2
阀V11的状态指示		F_ZTZS11
阀V12的状态指示		F_ZTZS12
阀V13的状态指示		F_ZTZS13
阀V14的状态指示		F_ZTZS14
阀V15的状态指示		F_ZTZS15
阀V16的状态指示		F_ZTZS16
阀V17的状态指示		F_ZTZS17
阀V18的状态指示		F_ZTZS18
阀V19的状态指示		F_ZTZS19
阀V20的状态指示		F_ZTZS20
阀V21的状态指示		F_ZTZS21
阀V22的状态指示		F_ZTZS22
阀V23的状态指示		F_ZTZS23
阀V24的状态指示		F_ZTZS24
阀V25的状态指示		F_ZTZS25
阀V26的状态指示		F_ZTZS26
阀V27的状态指示		F_ZTZS27
阀V28的状态指示		F_ZTZS28
阀V29的状态指示		F_ZTZS29
阀V30的状态指示		F_ZTZS30
阀V31的状态指示		F_ZTZS31
阀V32的状态指示		F_ZTZS32
阀V33的状态指示		F_ZTZS33
阀V34的状态指示		F_ZTZS34
阀V35的状态指示		F_ZTZS35
阀V40的状态指示		F_ZTZS40
阀V41的状态指示		F_ZTZS41
阀V50的状态指示		F_ZTZS50
阀V51的状态指示		F_ZTZS51
阀V52的状态指示		F_ZTZS52
阀V53的状态指示		F_ZTZS53
阀V54的状态指示		F_ZTZS54
阀V55的状态指示		F_ZTZS55
阀V60的状态指示		F_ZTZS60
阀V61的状态指示		F_ZTZS61
阀V62的状态指示		F_ZTZS62
阀V81的状态指示		F_ZTZS81
阀V82的状态指示		F_ZTZS82
阀V83的状态指示		F_ZTZS83
阀V84的状态指示		F_ZTZS84
阀V85的状态指示		F_ZTZS85
阀V86的状态指示		F_ZTZS86
阀V87的状态指示		F_ZTZS87
6#冲洗水流量	L/min	CSS_FLOW6
7#冲洗水流量	L/min	CSS_FLOW7
8#冲洗水流量	L/min	CSS_FLOW8
正在拼装的管片位置		PZ_RING_ING
已完成拼装位置1		PZ_RING_OVER1
已完成拼装位置2		PZ_RING_OVER2
已完成拼装位置3		PZ_RING_OVER3
已完成拼装位置4		PZ_RING_OVER4
已完成拼装位置5		PZ_RING_OVER5
已完成拼装位置6		PZ_RING_OVER6
已完成拼装位置7		PZ_RING_OVER7
已完成拼装位置8		PZ_RING_OVER8
已完成拼装位置9		PZ_RING_OVER9
已完成拼装位置10		PZ_RING_OVER10
推拼同步模式运行		TP_TB_RUN
缩回油缸加一模式开启		SHYG_RUN1
缩回油缸加二模式开启		SHYG_RUN2
设置管片拼装位置		GPPZ_SET
设置K块拼装位置		GPPZ_SETK
测量时间		CLSJ
前端X	m	QD_X
前端Y	m	QD_Y
前端Z	m	QD_Z
前端水平偏差	mm	QD_SP_PC
前端垂直偏差	mm	QD_CZ_PC
前端里程	m	QD_LC
中端X	m	ZD_X
中端Y	m	ZD_Y
中端Z	m	ZD_Z
中端水平偏差	mm	ZD_SP_PC
中端垂直偏差	mm	ZD_CZ_PC
中端里程	m	ZD_LC
后端X	m	HD_X
后端Y	m	HD_Y
后端Z	m	HD_Z
后端水平偏差	m	HD_SP_PC
后端垂直偏差	mm	HD_CZ_PC
后端里程	m	HD_LC
环号		RING_HH
滚动角	度	GDJ
俯仰角	度	FYJ
水平趋势	mm/m	SP_QS
垂直趋势	mm/m	CZ_QS
累积里程	m	LJ_LC
隧道水平趋势	mm/m	SD_SP_QS
隧道垂直趋势	mm/m	SD_CZ_QS
图像水平趋势	mm/m	TX_SP_QS
图像垂直趋势	mm/m	TX_CZ_QS
